strain	lineage
H1-001-0002-H-K	B2
H1-001-0004-T-P	B2
H1-001-0005-R-G	B2
H1-001-0007-H-B	B2
H1-001-0008-K-S	B2
H1-001-0009-M-P	B2
H1-001-0011-M-Y	B2
H1-001-0014-F-H	B2
H1-001-0016-D-R	B2
H1-001-0021-V-C	B2
H1-001-0024-C-H	B2
H1-001-0025-C-R	B2
H1-001-0028-E-M	B2
H1-001-0032-B-L	B2
H1-001-0033-G-M	B2
H1-001-0035-H-A	B2
H1-001-0036-E-A	B2
H1-001-0039-B-E	B2
H1-001-0040-G-N	B2
H1-001-0042-N-E	B2
H1-001-0045-L-T	B2
H1-001-0048-F-M	B2
H1-001-0050-M-T	B2
H1-001-0054-A-A	B2
H1-001-0056-E-J	B2
H1-001-0057-V-E	B2
H1-001-0058-G-M	B2
H1-001-0065-A-D	B2
H1-001-0068-C-C	B2
H1-001-0069-L-A	B2
H1-001-0072-N-F	B2
H1-001-0073-Z-M	B2
H1-001-0076-M-P	B2
H1-001-0079-V-O	B2
H1-001-0081-L-J	B2
H1-001-0082-P-K	B2
H1-001-0083-D-D	B2
H1-001-0084-A-S	B2
H1-001-0085-F-D	B2
H1-001-0087-M-C	B2
H1-001-0088-K-O	B2
H1-001-0090-C-J	B2
H1-001-0095-N-K	B2
H1-001-0098-B-K	B2
H1-001-0099-L-B	B2
H1-001-0101-D-A	B2
H1-001-0107-L-E	B2
H1-001-0114-R-S	B2
H1-001-0116-H-M	B2
H1-001-0117-D-M	B2
H1-001-0118-F-M	B2
H1-001-0119-F-Z	B2
H1-001-0122-S-J	B2
H1-001-0128-B-A	B2
H1-001-0133-V-M	B2
H1-001-0135-L-E	B2
H1-001-0138-N-F	B2
H1-001-0140-M-O	B2
H1-001-0141-G-Y	B2
H1-001-0142-L-C	B2
H1-001-0148-Y-J	B2
H1-001-0151-L-P	B2
H1-001-0157-P-A	B2
H1-002-0001-M-C	B2
H1-002-0002-B-M	B2
H1-002-0004-T-A	B2
H1-002-0005-B-J	B2
H1-002-0008-D-F	B2
H1-002-0014-K-M	B2
H1-002-0016-H-R	B2
H1-002-0017-S-I	B2
H1-002-0020-C-L	B2
H1-002-0022-N-F	B2
H1-002-0024-V-G	B2
H1-002-0026-M-N	B2
H1-002-0027-A-K	B2
H1-002-0028-B-G	B2
H1-002-0030-T-Y	B2
H1-002-0031-C-S	B2
H1-002-0033-S-R	B2
H1-002-0034-C-Z	B2
H1-002-0035-L-C	B2
H1-002-0036-S-N	B2
H1-002-0037-M-F	B2
H1-002-0039-R-E	B2
H1-002-0040-D-F	B2
H1-002-0041-E-M	B2
H1-002-0042-T-M	B2
H1-002-0043-S-L	B2
H1-002-0044-L-P	B2
H1-002-0048-T-C	B2
H1-002-0049-D-R	B2
H1-002-0050-L-G	B2
H1-002-0052-P-C	B2
H1-002-0053-D-K	B2
H1-002-0054-V-A	B2
H1-002-0058-H-G	B2
H1-002-0061-D-Z	B2
H1-002-0062-F-N	B2
H1-002-0063-C-M	B2
H1-002-0065-O-P	B2
H1-002-0066-F-K	B2
H1-002-0067-L-Z	B2
H1-002-0068-R-E	B2
H1-002-0070-M-J	B2
H1-002-0071-M-C	B2
H1-002-0073-C-C	B2
H1-002-0074-R-S	B2
H1-002-0075-S-Y	B2
H1-002-0076-C-S	B2
H1-002-0077-B-G	B2
H1-002-0078-L-J	B2
H1-003-0006-O-H	B2
H1-003-0008-A-C	B2
H1-003-0009-G-T	B2
H1-003-0011-C-R	B2
H1-003-0012-P-A	B2
H1-003-0013-F-G	B2
H1-003-0014-B-N	B2
H1-003-0020-T-P	B2
H1-003-0021-B-C	B2
H1-003-0024-A-P	B2
H1-003-0026-R-A	B2
H1-003-0029-P-C	B2
H1-003-0032-M-L	B2
H1-003-0033-A-J	B2
H1-003-0035-D-E	B2
H1-003-0036-P-A	B2
